,doc_id,street,hotel_url,zip,long,lat
usa_new york city_inn_new_york_city,inn new york city,new york city,266 west 71st st.,10023,-73.98457549999999,40.7787712
usa_new york city_casablanca_hotel,casablanca hotel,new york city,147 west 43rd street,10036,-73.9854417,40.7564899
usa_new york city_library_hotel,library hotel,new york city,299 madison avenue,10017,-73.9795322,40.7521704
usa_new york city_new_york_palace_hotel,new york palace hotel,new york city,455 madison ave,10022,-73.97499049999999,40.75818520000001
usa_new york city_the_french_quarters_guest_apartments,the french quarters guest apartments,new york city,346 w. 46th street,10036,-73.989775,40.76032319999999
usa_new york city_sofitel_new_york,sofitel new york,new york city,45 west 44th street,10036,-73.9815796,40.7560147
usa_new york city_hotel_giraffe,hotel giraffe,new york city,365 park ave s,10016,-73.984741,40.7421174
usa_new york city_hotel_elysee,hotel elysee,new york city,60 east 54th street,10022,-73.97320859999999,40.7598899
usa_new york city_the_ritz_carlton_new_york_central_park,the ritz carlton new york central park,new york city,50 central park south,10019,-73.9760929,40.7653266
usa_new york city_residence_inn_by_marriott_times_square_new_york,residence inn by marriott times square new york,new york city,1033 avenue of the americas,10018,-73.9859954,40.7528646
usa_new york city_affinia_dumont,affinia dumont,new york city,150 east 34th street,10016,-73.979291,40.745913
usa_new york city_chelsea_pines_inn,chelsea pines inn,new york city,317 west 14th street,10014,-74.0033675,40.740373
usa_new york city_the_hampton_inn_times_square_north,the hampton inn times square north,new york city,851 eighth avenue @ 51st street,10019,-73.98566439999999,40.7632795
usa_new york city_hilton_garden_inn_times_square,hilton garden inn times square,new york city,790 eighth avenue,10019,-73.986718,40.761119
usa_new york city_the_lucerne_hotel,the lucerne hotel,new york city,201 west 79th street,10024,-73.9784952,40.7834267
usa_new york city_courtyard_new_york_manhattan_midtown_east,courtyard new york manhattan midtown east,new york city,866 third avenue,10022,-73.9698919,40.7574353
usa_new york city_hilton_garden_inn_new_york_west_35th,hilton garden inn new york west 35th,new york city,63 west 35th street ,10001,-73.9865054,40.7503679
usa_new york city_the_michelangelo_hotel,the michelangelo hotel,new york city,152 west 51st street,10019,-73.9825913,40.7614645
usa_new york city_wyndham_garden_hotel_times_square_south,wyndham garden hotel times square south,new york city,341 w 36th street,10018,-73.9940931,40.7543421
usa_new york city_the_bryant_park,the bryant park,new york city,40 west 40th street,10018,-86.163991,39.8283034
usa_new york city_affinia_gardens,affinia gardens,new york city,215 east 64th street,10021,-73.96302969999999,40.76441579999999
usa_new york city_the_mercer_hotel,the mercer hotel,new york city,147 mercer st,10012,-73.9985375,40.7248889
