,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,date
0,5222,Best Hideaway,7516,Marilyn,Manhattan,East Village,40.72764,-73.97949,Entire home/apt,116,30,94,2016-06-15,0.73,1,347,2009-02-23
1,9357,Midtown Pied-a-terre,30193,Tommi,Manhattan,Hell's Kitchen,40.76715,-73.98533,Entire home/apt,150,10,58,2017-08-13,0.48,1,142,2009-10-04
2,12343,BEST BET IN HARLEM,47727,Earl,Manhattan,Harlem,40.81175,-73.94478000000001,Entire home/apt,150,7,100,2019-07-31,0.85,1,317,2010-01-02
3,14287,Cozy 1BD on Central Park West in New York City,56094,Joya,Manhattan,Upper West Side,40.78635,-73.97008000000001,Entire home/apt,151,3,80,2019-09-09,0.68,1,109,2010-01-01
4,14322,Beautiful Apartment in Manhattan!!!,56284,Francesca,Manhattan,Kips Bay,40.73961,-73.98074,Entire home/apt,200,7,19,2019-03-25,0.21,1,316,2012-04-15
5,15396,Sunny & Spacious Chelsea Apartment,60278,Petra,Manhattan,Chelsea,40.74623,-73.9953,Entire home/apt,375,180,5,2018-11-03,0.12,1,180,2016-03-23
6,15711,2 bedroom - Upper East Side-great for kids,61491,D,Manhattan,Upper East Side,40.77065,-73.95269,Entire home/apt,250,2,67,2019-08-26,0.57,2,229,2010-01-06
7,16974,SpaHa Loft: Enormous and Bright,65837,Robin,Manhattan,East Harlem,40.80164,-73.93921999999999,Entire home/apt,225,4,197,2019-09-07,1.67,1,245,2010-01-02
8,17037,Lovely EV Artist's Home,66035,Anna,Manhattan,East Village,40.72162,-73.98008,Entire home/apt,230,5,50,2019-07-09,0.43,1,137,2010-03-31
9,18127,Charming East Village One Bedroom Flat,69829,Josh,Manhattan,East Village,40.72828,-73.98801,Entire home/apt,170,5,21,2019-01-02,0.19,1,266,2010-09-17
10,19159,Spacious luminous apt Upper West NYC,73051,Sybilla,Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,110,31,55,2019-07-29,0.49,1,264,2010-06-24
11,19169,Entire 2 Bedroom - Large & Sunny,73128,Joanna,Manhattan,Lower East Side,40.718509999999995,-73.98892,Entire home/apt,285,5,73,2019-07-27,0.63,1,326,2010-04-03
12,21456,Light-filled classic Central Park ,42032,Dana,Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,140,30,82,2019-07-07,0.71,1,236,2010-03-16
13,23686,2000 SF 3br 2ba West Village garden townhouse,93790,Ann,Manhattan,West Village,40.730959999999996,-74.00319,Entire home/apt,500,4,46,2019-05-18,0.53,2,246,2012-08-06
14,26559,Beautiful Apartment East Village,112793,Sally,Manhattan,East Village,40.7288,-73.98192,Entire home/apt,140,7,12,2017-12-11,0.12,1,231,2011-08-26
15,26933,2 BR / 2 Bath Duplex Apt with patio! East Village,72062,Bruce,Manhattan,East Village,40.7254,-73.98156999999999,Entire home/apt,350,2,7,2017-08-09,0.06,4,279,2010-06-08
16,26954,NYC fabulous views Manhattan's eye,115157,Nimo,Manhattan,Kips Bay,40.742940000000004,-73.98009,Entire home/apt,199,5,38,2015-12-02,0.37,1,319,2011-05-16
17,27385,Great Large 1 BR apt  in East Village!,72062,Bruce,Manhattan,East Village,40.72555,-73.97965,Entire home/apt,225,1,116,2019-07-01,1.04,4,279,2010-07-06
18,27644,Sugar Hill Rest Stop ,119510,Emma,Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,170,2,201,2019-09-08,2.05,1,317,2011-08-23
19,27759,apartment next to Central park,119900,Sylvie,Manhattan,Upper West Side,40.778420000000004,-73.97556,Entire home/apt,170,7,14,2019-07-26,0.13,1,268,2010-08-18
20,29455,ACCOMMODATIONS GALORE #1,126607,Laurine,Manhattan,Harlem,40.816179999999996,-73.94894000000001,Entire home/apt,120,3,156,2019-08-18,1.4,3,214,2010-07-16
21,29683,Stylish & Sleek Apartment Near SoHo!,125857,Uli,Manhattan,East Village,40.72392,-73.99143000000001,Entire home/apt,185,5,78,2019-09-07,0.69,1,268,2010-05-26
22,32329,Fully Furnished Beautiful 1 Bedroom,139853,Victor,Manhattan,East Village,40.72895,-73.98376999999999,Entire home/apt,160,14,3,2016-08-19,0.04,1,343,2012-09-01
23,36703,"Sunny, clean 1 bdrm in W. Village",158284,Karene,Manhattan,West Village,40.73226,-74.00401,Entire home/apt,225,45,135,2019-08-30,1.22,1,266,2010-08-11
24,38638,Light and Airy Upper East Side 1 BDR apartment,92788,Sara,Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,219,4,126,2019-06-26,1.14,2,297,2010-08-05
25,39267,CENTRAL PARK LOFT all for YOU,168417,Marie,Manhattan,Upper East Side,40.77456,-73.95323,Entire home/apt,99,1,240,2019-08-15,2.6,2,136,2012-02-16
26,40453,Charming & Cozy midtown loft any WEEK ENDS  !!!,174025,Sylvia,Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,250,3,4,2016-09-23,0.08,1,365,2015-05-07
27,44221,Financial District Luxury Loft,193722,Coral,Manhattan,Financial District,40.70666,-74.01374,Entire home/apt,196,3,117,2019-07-12,1.06,1,147,2010-08-29
28,44288,Lovely West Village Studio on tree lined street,193637,Sara,Manhattan,West Village,40.737559999999995,-74.00405,Entire home/apt,170,3,88,2019-08-09,0.8,1,219,2010-08-28
29,44472,Large Artist Designer Loft in NoHo,170703,L Tree,Manhattan,NoHo,40.72825,-73.99286,Entire home/apt,385,3,25,2019-08-24,0.23,1,110,2010-08-18
30,44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,126607,Laurine,Manhattan,Harlem,40.815259999999995,-73.94791,Entire home/apt,165,3,84,2019-08-05,0.77,3,207,2010-09-14
31,45393,Greenwich Village Stylish Apartment,201297,Myrna,Manhattan,West Village,40.73423,-74.0046,Entire home/apt,150,26,38,2016-04-20,0.35,1,250,2010-09-27
32,48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views,221873,Shane,Manhattan,Lower East Side,40.71882,-73.98852,Entire home/apt,299,30,113,2019-09-03,1.06,1,278,2010-12-06
33,54544,City Room - Private Penthouse Apt.,256161,Wayne,Manhattan,Harlem,40.81035,-73.94598,Entire home/apt,121,1,109,2019-08-09,1.03,5,283,2011-01-02
34,55737,Sleek & Comfortable Soho Apt,263414,Pete,Manhattan,West Village,40.728609999999996,-74.0049,Entire home/apt,199,5,130,2019-08-18,1.21,1,303,2010-11-08
35,56467,Cozy East Village Railroad 1 Bed!,267593,Leonardo,Manhattan,East Village,40.72752,-73.98432,Entire home/apt,130,1,213,2019-09-05,2.08,1,110,2011-04-18
36,57740,Quiet & Clean Retreat in the City,275459,I,Manhattan,East Village,40.73012,-73.99053,Entire home/apt,239,3,7,2019-05-24,0.07,1,334,2010-12-16
37,57754,Stylish Large Gramercy Loft!,275578,R,Manhattan,Flatiron District,40.7403,-73.98498000000001,Entire home/apt,305,2,110,2019-08-13,1.09,1,268,2011-05-24
