,id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,date,year,x,y
0,5022,Entire Apt: Spacious Studio/Loft by central park,7192,Laura,Manhattan,East Harlem,Entire home/apt,80,10,9,2018-11-19,0.1,1,0,2012-03-20,2012,-8231407.314022913,4982667.207900715
1,5099,Large Cozy 1 BR Apartment In Midtown East,7322,Chris,Manhattan,Murray Hill,Entire home/apt,200,3,75,2019-07-21,0.59,1,13,2009-04-20,2009,-8234859.331432411,4975193.987972805
2,5178,Large Furnished Room Near B'way ,8967,Shunichi,Manhattan,Hell's Kitchen,Private room,79,2,443,2019-08-27,3.51,1,246,2009-05-06,2009,-8235964.73397599,4977724.599547596
3,5203,Cozy Clean Guest Room - Family Apt,7490,MaryEllen,Manhattan,Upper West Side,Private room,79,2,118,2017-07-21,0.97,1,0,2009-09-07,2009,-8233994.37898895,4983148.076999503
4,5222,Best Hideaway,7516,Marilyn,Manhattan,East Village,Entire home/apt,116,30,94,2016-06-15,0.73,1,347,2009-02-23,2009,-8235359.155946074,4972251.2495313585
5,5238,Cute & Cozy Lower East Side 1 bdrm,7549,Ben,Manhattan,Chinatown,Entire home/apt,150,1,161,2019-07-29,1.32,4,0,2009-09-01,2009,-8236570.312005905,4970165.571074535
6,5295,Beautiful 1br on Upper West Side,7702,Lena,Manhattan,Upper West Side,Entire home/apt,135,5,54,2019-08-03,0.43,1,40,2009-05-08,2009,-8233796.230295337,4983351.019691054
7,5441,Central Manhattan/near Broadway,7989,Kate,Manhattan,Hell's Kitchen,Private room,85,5,198,2019-09-08,1.55,1,7,2009-03-12,2009,-8236381.068871556,4977117.604493788
8,6021,Wonderful Guest Bedroom in Manhattan CENTRAL PARK,11528,Claudio,Manhattan,Upper West Side,Private room,85,2,116,2019-09-02,0.92,1,329,2009-05-10,2009,-8233315.330095109,4982630.445182907
9,6090,West Village Nest - Superhost,11975,Alina,Manhattan,West Village,Entire home/apt,120,90,27,2018-10-31,0.22,1,41,2009-08-23,2009,-8238226.74602891,4973376.525656337
10,7322,"Chelsea Perfect  by Doti, an AIRBNB  Super Host!",18946,Doti,Manhattan,Chelsea,Private room,140,1,277,2019-09-05,2.22,1,12,2009-06-13,2009,-8237086.834443185,4974349.1271507135
11,9357,Midtown Pied-a-terre,30193,Tommi,Manhattan,Hell's Kitchen,Entire home/apt,150,10,58,2017-08-13,0.48,1,142,2009-10-04,2009,-8236009.261772308,4978056.772615357
12,9657,Modern 1 BR / NYC / EAST VILLAGE,21904,Dana,Manhattan,East Village,Entire home/apt,180,10,30,2019-09-04,0.25,1,54,2009-09-08,2009,-8236019.28052648,4972480.40753298
13,9668,front room/double bed,32294,Ssameer Or Trip,Manhattan,Harlem,Private room,50,3,248,2019-09-09,2.05,3,343,2009-10-04,2009,-8232192.116433007,4986188.247448321
14,9704,Spacious 1 bedroom in luxe building,32045,Teri,Manhattan,Harlem,Private room,52,2,95,2019-08-27,1.48,1,287,2014-06-10,2014,-8232595.0929896785,4984805.565816579
15,9783,back room/bunk beds,32294,Ssameer Or Trip,Manhattan,Harlem,Private room,50,3,279,2019-09-05,2.37,3,339,2010-01-14,2010,-8232430.340143304,4986019.079069713
16,12048,LowerEastSide apt share shortterm 1,7549,Ben,Manhattan,Lower East Side,Shared room,40,1,218,2019-08-28,1.81,4,0,2009-10-29,2009,-8236436.728616953,4970249.283399733
17,12192,ENJOY Downtown NYC!,46978,Edward,Manhattan,East Village,Private room,68,2,253,2019-08-31,2.1,2,46,2009-10-27,2009,-8235637.4546730565,4971554.99471356
18,12318,West Side Retreat,16800,Cyn,Manhattan,Upper West Side,Private room,135,4,84,2019-09-04,0.71,1,312,2009-12-07,2009,-8235334.6656581005,4981429.115748915
19,12343,BEST BET IN HARLEM,47727,Earl,Manhattan,Harlem,Entire home/apt,150,7,100,2019-07-31,0.85,1,317,2010-01-02,2010,-8231495.256420639,4984614.359309228
20,14287,Cozy 1BD on Central Park West in New York City,56094,Joya,Manhattan,Upper West Side,Entire home/apt,151,3,80,2019-09-09,0.68,1,109,2010-01-01,2010,-8234311.63953771,4980879.229685562
